action,ts
start,2011-03-13 3:00:00
start,2012-03-11 3:00:00
start,2013-03-10 3:00:00
start,2014-03-09 3:00:00
start,2015-03-08 3:00:00
start,2016-03-13 3:00:00
start,2017-03-12 3:00:00
start,2018-03-11 3:00:00
start,2019-03-10 3:00:00
start,2020-03-08 3:00:00
start,2021-03-14 3:00:00
start,2022-03-13 3:00:00
start,2023-03-12 3:00:00
start,2024-03-10 3:00:00
start,2025-03-09 3:00:00
start,2026-03-08 3:00:00
start,2027-03-14 3:00:00
start,2028-03-12 3:00:00
start,2029-03-11 3:00:00
start,2030-03-10 3:00:00
end,2011-11-06 2:00:00
end,2012-11-04 2:00:00
end,2013-11-03 2:00:00
end,2014-11-02 2:00:00
end,2015-11-01 2:00:00
end,2016-11-06 2:00:00
end,2017-11-05 2:00:00
end,2018-11-04 2:00:00
end,2019-11-03 2:00:00
end,2020-11-01 2:00:00
end,2021-11-07 2:00:00
end,2022-11-06 2:00:00
end,2023-11-05 2:00:00
end,2024-11-03 2:00:00
end,2025-11-02 2:00:00
end,2026-11-01 2:00:00
end,2027-11-07 2:00:00
end,2028-11-05 2:00:00
end,2029-11-04 2:00:00
end,2030-11-03 2:00:00