logger_id,sdi,start_ts_utc,sensor_type,site,zone,plot,tree_id,spp
301,1,2021-01-30 0:00:00,implexx_old,brnv,H,5,560,pintae
301,0,2021-01-30 0:00:00,implexx_old,brnv,H,5,562,pintae
302,0,2021-01-30 0:00:00,implexx_old,brnv,M,2,2431,pintae
302,1,2021-01-30 0:00:00,implexx_old,brnv,M,2,501,pintae
302,1,2022-06-11 12:00:00,implexx_old,brnv,M,2,2431,pintae
302,1,2024-07-10 01:00:00,implexx_new,brnv,M,2,501,pintae
303,0,2021-01-30 00:00:00,implexx_old,brnv,L,6,85,pintae
303,1,2021-01-30 00:00:00,implexx_old,brnv,L,6,95,pintae
303,1,2022-06-11 12:00:00,implexx_old,brnv,L,6,85,pintae
303,1,2022-10-25 12:00:00,implexx_old,brnv,L,6,2,nyssyl
303,0,2022-10-25 12:00:00,implexx_old,brnv,L,6,1,nyssyl
304,1,2021-01-30 00:00:00,implexx_old,brnv,H,7,891,pintae
304,0,2021-01-30 00:00:00,implexx_old,brnv,H,7,892,pintae
304,0,2024-07-10 01:00:00,implexx_new,brnv,H,7,892,pintae
305,0,2021-01-30 00:00:00,implexx_old,brnv,M,1,831,pintae
305,1,2021-01-30 00:00:00,implexx_old,brnv,M,1,830,pintae
305,1,2022-06-11 12:00:00,implexx_old,brnv,M,1,831,pintae
305,1,2022-11-10 16:30:00,implexx_old,brnv,M,1,8,nyssyl
305,0,2022-11-10 16:30:00,implexx_old,brnv,M,1,7,nyssyl
305,0,2024-01-01 01:00:00,implexx_old,brnv,M,1,831,pintae
305,1,2024-01-01 01:00:00,implexx_old,brnv,M,1,830,pintae
306,0,2021-01-30 00:00:00,implexx_old,brnv,L,2,147,pintae
306,1,2021-01-30 00:00:00,implexx_old,brnv,L,2,149,pintae
306,1,2022-06-11 12:00:00,implexx_old,brnv,L,2,147,pintae
306,1,2022-12-10 12:00:00,implexx_old,brnv,L,2,4,nyssyl
306,0,2022-12-10 12:00:00,implexx_old,brnv,L,2,3,nyssyl
310,0,2024-06-01 01:00:00,implexx_new,brnv,L,6,85,pintae
310,1,2024-06-01 01:00:00,implexx_old,brnv,L,6,95,pintae
311,0,2024-06-01 01:00:00,implexx_old,brnv,L,2,5491,pintae
311,1,2024-06-01 01:00:00,implexx_old,brnv,L,2,5495,pintae
401,0,2021-05-26 00:00:00,implexx_old,monb,H,0,127,pintae
401,1,2021-05-26 00:00:00,implexx_old,monb,H,0,129,pintae
402,0,2021-05-26 00:00:00,implexx_old,monb,L,1,145,pintae
402,1,2021-05-26 00:00:00,implexx_old,monb,L,1,143,pintae
403,1,2021-05-26 00:00:00,implexx_old,monb,H,1,134,pintae
403,0,2021-05-26 00:00:00,implexx_old,monb,H,1,135,pintae
403,1,2024-07-10 01:00:00,implexx_new,monb,H,1,134,pintae
404,0,2021-05-26 00:00:00,implexx_old,monb,M,1,140,pintae
404,1,2021-05-26 00:00:00,implexx_old,monb,M,1,139,pintae
405,0,2021-05-26 00:00:00,implexx_old,monb,L,0,120,pintae
405,1,2021-05-26 00:00:00,implexx_old,monb,L,0,119,pintae
405,0,2024-01-01 01:00:00,implexx_new,monb,L,0,120,pintae
406,0,2021-05-26 00:00:00,implexx_old,monb,M,0,122,pintae
406,1,2021-05-26 00:00:00,implexx_old,monb,M,0,121,pintae
410,0,2024-05-01 01:00:00,implexx_old,monb,M,1,140,pintae
410,1,2024-05-01 01:00:00,implexx_old,monb,M,1,139,pintae
411,0,2024-06-19 01:00:00,implexx_old,monb,M,0,122,pintae
411,1,2024-06-19 01:00:00,implexx_new,monb,M,0,121,pintae
501,1,2021-12-17 00:00:00,implexx_old,milf,H,1,5402,pintae
501,0,2021-12-17 00:00:00,implexx_old,milf,H,1,5498,pintae
502,0,2021-12-17 00:00:00,implexx_old,milf,L,2,5491,pintae
502,1,2021-12-17 00:00:00,implexx_old,milf,L,2,5495,pintae
503,1,2021-12-17 00:00:00,implexx_old,milf,H,2,5500,pintae
503,0,2021-12-17 00:00:00,implexx_old,milf,H,2,5401,pintae
504,1,2021-12-17 00:00:00,implexx_old,milf,L,1,5494,pintae
504,0,2021-12-17 00:00:00,implexx_old,milf,L,1,5496,pintae
505,0,2021-12-17 00:00:00,implexx_old,milf,M,1,5493,pintae
505,1,2021-12-17 00:00:00,implexx_old,milf,M,1,5492,pintae
506,0,2021-12-17 00:00:00,implexx_old,milf,M,2,5497,pintae
506,1,2021-12-17 00:00:00,implexx_old,milf,M,2,5403,pintae
510,0,2024-06-16 01:00:00,implexx_old,milf,M,1,5493,pintae
510,1,2024-06-16 01:00:00,implexx_old,milf,M,1,5492,pintae
511,1,2024-06-16 01:00:00,implexx_old,milf,L,1,5494,pintae
511,0,2024-06-16 01:00:00,implexx_old,milf,L,1,5496,pintae
511,0,2024-08-01 01:00:00,implexx_new,milf,L,1,5496,pintae
601,0,2022-06-06 12:00:00,implexx_old,brnv,H,5,9,nyssyl
601,1,2022-06-06 12:00:00,implexx_old,brnv,H,5,10,nyssyl
601,1,2024-01-01 12:00:00,implexx_old,brnv,H,5,560,pintae
601,0,2024-01-01 12:00:00,implexx_old,brnv,H,5,562,pintae
701,1,2024-09-01 12:00:00,implexx_old,brnv,H,5,560,pintae
701,0,2024-09-01 12:00:00,implexx_old,brnv,H,5,562,pintae